times,energies
-1.999054014682769775e+00,5.772827148437500000e+02
-1.998508036136627197e+00,1.539400672912597656e+01
-1.997228026390075684e+00,1.845382080078125000e+02
-1.996218025684356689e+00,1.539400672912597656e+01
-1.995760023593902588e+00,1.326896476745605469e+01
-1.995411992073059082e+00,6.450071716308593750e+01
-1.995404005050659180e+00,1.772887039184570312e+01
-1.995307981967926025e+00,4.397741317749023438e+01
-1.993806004524230957e+00,1.539400672912597656e+01
-1.993799984455108643e+00,2.967573928833007812e+01
-1.993781983852386475e+00,1.490618652343750000e+03
-1.993121981620788574e+00,1.490618652343750000e+03
-1.992568016052246094e+00,4.739938964843750000e+02
-1.991995990276336670e+00,5.452413940429687500e+01
-1.991957962512969971e+00,1.024215126037597656e+01
-1.990495979785919189e+00,1.650056838989257812e+01
-1.990285992622375488e+00,1.539400672912597656e+01
-1.989323973655700684e+00,3.870365905761718750e+01
-1.989165961742401123e+00,3.357260513305664062e+01
-1.988521993160247803e+00,3.711849594116210938e+01
-1.988388001918792725e+00,2.183972549438476562e+01
-1.988183975219726562e+00,2.044923782348632812e+01
-1.987791955471038818e+00,8.223858642578125000e+01
-1.987321972846984863e+00,1.902925109863281250e+02
-1.985004007816314697e+00,1.772887039184570312e+01
-1.983828008174896240e+00,1.539400672912597656e+01
-1.982053995132446289e+00,3.870365905761718750e+01
-1.981397986412048340e+00,4.397741317749023438e+01
-1.979348003864288330e+00,1.650056838989257812e+01
-1.978091955184936523e+00,1.097372436523437500e+02
-1.977995991706848145e+00,4.397741317749023438e+01
-1.977789998054504395e+00,1.650056838989257812e+01
-1.973949968814849854e+00,1.907785034179687500e+01
-1.973827958106994629e+00,1.539400672912597656e+01
-1.970775961875915527e+00,4.788187408447265625e+01
-1.970117986202239990e+00,2.183972549438476562e+01
-1.969563961029052734e+00,8.040172119140625000e+02
-1.969465970993041992e+00,2.624357223510742188e+01
-1.969433963298797607e+00,2.218038635253906250e+02
-1.968777954578399658e+00,4.788187408447265625e+01
-1.968517959117889404e+00,2.794122505187988281e+01
-1.967893958091735840e+00,3.870365905761718750e+01
-1.967301964759826660e+00,2.324995040893554688e+01
-1.966251969337463379e+00,2.967573928833007812e+01
-1.966031968593597412e+00,1.174707031250000000e+02
-1.965807974338531494e+00,5.772827148437500000e+02
-1.965201973915100098e+00,1.539400672912597656e+01
-1.964473962783813477e+00,2.468191528320312500e+01
-1.964334011077880859e+00,6.724725341796875000e+01
-1.963725984096527100e+00,1.060347747802734375e+02
-1.963207960128784180e+00,1.432538757324218750e+02
-1.963113963603973389e+00,1.299350128173828125e+02
-1.962855994701385498e+00,3.870365905761718750e+01
-1.962509989738464355e+00,1.326896476745605469e+01
-1.961405992507934570e+00,4.999148941040039062e+01
