times,energies
-1.999171972274780273e+00,1.358141326904296875e+01
-1.998828053474426270e+00,3.706805038452148438e+01
-1.998783946037292480e+00,9.367504119873046875e+01
-1.998728036880493164e+00,2.210694885253906250e+01
-1.997833967208862305e+00,7.482537078857421875e+01
-1.996657967567443848e+00,2.826311111450195312e+01
-1.996423959732055664e+00,9.568283081054687500e+02
-1.996073961257934570e+00,7.793193359375000000e+02
-1.995898008346557617e+00,9.568283081054687500e+02
-1.995057940483093262e+00,2.107627258300781250e+02
-1.994868040084838867e+00,3.398748779296875000e+01
-1.994542002677917480e+00,8.085853576660156250e+01
-1.993924021720886230e+00,4.208401489257812500e+01
-1.993041992187500000e+00,3.398748779296875000e+01
-1.992885947227478027e+00,1.358141326904296875e+01
-1.991772055625915527e+00,1.249998855590820312e+01
-1.991291999816894531e+00,1.249998855590820312e+01
-1.990919947624206543e+00,6.128153228759765625e+01
-1.990434050559997559e+00,2.069869041442871094e+01
-1.989330053329467773e+00,3.398748779296875000e+01
-1.987864017486572266e+00,1.142793941497802734e+01
-1.987851977348327637e+00,1.578656005859375000e+01
-1.987426042556762695e+00,1.361557006835937500e+02
-1.984894037246704102e+00,1.805825042724609375e+01
-1.984691977500915527e+00,2.069869041442871094e+01
-1.984583973884582520e+00,1.191828002929687500e+02
-1.983996033668518066e+00,8.710758972167968750e+01
-1.982609987258911133e+00,1.931851577758789062e+01
-1.982187986373901367e+00,1.361557006835937500e+02
-1.981958031654357910e+00,2.449485168457031250e+02
-1.981433987617492676e+00,3.895289916992187500e+02
-1.980376005172729492e+00,6.914735412597656250e+01
-1.980172038078308105e+00,2.210694885253906250e+01
-1.978817939758300781e+00,2.069869041442871094e+01
-1.978749990463256836e+00,2.210694885253906250e+01
-1.978428006172180176e+00,6.128153228759765625e+01
-1.978153944015502930e+00,6.384929275512695312e+01
-1.978013992309570312e+00,7.198109436035156250e+01
-1.976896047592163086e+00,2.354925155639648438e+01
-1.976629972457885742e+00,9.568283081054687500e+02
-1.976498007774353027e+00,2.826311111450195312e+01
-1.975803971290588379e+00,1.142793941497802734e+01
-1.975028038024902344e+00,1.578656005859375000e+01
-1.974316000938415527e+00,9.367504119873046875e+01
-1.973835945129394531e+00,1.358141326904296875e+01
-1.972077965736389160e+00,2.210694885253906250e+01
-1.970088005065917969e+00,1.805825042724609375e+01
-1.970047950744628906e+00,2.826311111450195312e+01
-1.968652009963989258e+00,5.423950195312500000e+01
-1.968278050422668457e+00,1.805825042724609375e+01
-1.967229962348937988e+00,1.152329788208007812e+02
-1.966043949127197266e+00,2.826311111450195312e+01
-1.966019988059997559e+00,1.045000839233398438e+01
-1.965072035789489746e+00,1.045000839233398438e+01
-1.964691996574401855e+00,1.142793941497802734e+01
-1.962162017822265625e+00,3.015222167968750000e+01
-1.962098002433776855e+00,1.647643432617187500e+02
-1.961539983749389648e+00,4.390819931030273438e+01
-1.960245966911315918e+00,3.706805038452148438e+01
-1.959627985954284668e+00,2.826311111450195312e+01
-1.957049965858459473e+00,2.107627258300781250e+02
-1.956526041030883789e+00,2.107627258300781250e+02
-1.956354022026062012e+00,2.069869041442871094e+01
-1.956238031387329102e+00,3.398748779296875000e+01
-1.955744028091430664e+00,1.578656005859375000e+01
-1.955718040466308594e+00,2.503210067749023438e+01
-1.954800009727478027e+00,4.208401489257812500e+01
-1.954496026039123535e+00,1.358141326904296875e+01
-1.954254031181335449e+00,1.865869140625000000e+02
-1.952774047851562500e+00,1.647643432617187500e+02
-1.952036023139953613e+00,9.568283081054687500e+02
-1.951086044311523438e+00,3.015222167968750000e+01
-1.950683951377868652e+00,3.398748779296875000e+01
-1.949739933013916016e+00,3.474263305664062500e+02
-1.949519991874694824e+00,1.931851577758789062e+01
-1.948863983154296875e+00,1.487655517578125000e+03
-1.948339939117431641e+00,4.783640289306640625e+01
-1.945515990257263184e+00,1.249998855590820312e+01
-1.945485949516296387e+00,9.568283081054687500e+02
-1.945104002952575684e+00,1.142793941497802734e+01
-1.943985939025878906e+00,1.487655517578125000e+03
-1.943966031074523926e+00,1.358141326904296875e+01
-1.943714022636413574e+00,1.805825042724609375e+01
-1.942294001579284668e+00,5.610628051757812500e+02
-1.942232012748718262e+00,1.487655517578125000e+03
-1.941704034805297852e+00,9.568283081054687500e+02
-1.941254019737243652e+00,3.554320144653320312e+01
-1.940878033638000488e+00,4.038374328613281250e+01
-1.940641999244689941e+00,1.647643432617187500e+02
-1.940115928649902344e+00,1.249998855590820312e+01
-1.938181996345520020e+00,4.208401489257812500e+01
-1.937137961387634277e+00,2.069869041442871094e+01
-1.936637997627258301e+00,1.578656005859375000e+01
-1.935938000679016113e+00,2.069869041442871094e+01
-1.935901999473571777e+00,1.647643432617187500e+02
-1.935815930366516113e+00,1.545945739746093750e+02
-1.935791969299316406e+00,1.805825042724609375e+01
-1.935029983520507812e+00,1.805825042724609375e+01
-1.933851957321166992e+00,4.783640289306640625e+01
-1.933247923851013184e+00,1.923552703857421875e+02
-1.932811975479125977e+00,3.398748779296875000e+01
-1.931990027427673340e+00,1.691384696960449219e+01
-1.931766033172607422e+00,2.069869041442871094e+01
-1.931154012680053711e+00,1.805825042724609375e+01
-1.931136012077331543e+00,7.198109436035156250e+01
-1.930233955383300781e+00,4.783640289306640625e+01
-1.929711937904357910e+00,4.208401489257812500e+01
-1.929690003395080566e+00,4.783640289306640625e+01
-1.928311944007873535e+00,3.786030273437500000e+02
-1.928167939186096191e+00,1.578656005859375000e+01
-1.927706003189086914e+00,2.598724975585937500e+02
-1.927251935005187988e+00,1.923552703857421875e+02
-1.926334023475646973e+00,4.585773849487304688e+01
-1.926023960113525391e+00,1.578656005859375000e+01
-1.924304008483886719e+00,3.398748779296875000e+01
-1.924242019653320312e+00,7.793193359375000000e+02
-1.923210024833679199e+00,1.142793941497802734e+01
-1.923012018203735352e+00,1.809443969726562500e+02
-1.922197937965393066e+00,1.467605972290039062e+01
-1.920431971549987793e+00,1.191828002929687500e+02
-1.919847965240478516e+00,1.317347717285156250e+02
-1.918995976448059082e+00,2.826311111450195312e+01
-1.918889999389648438e+00,2.676527099609375000e+02
-1.918587923049926758e+00,1.152329788208007812e+02
-1.918283939361572266e+00,3.213010787963867188e+01
-1.916054010391235352e+00,4.585773849487304688e+01
-1.915609955787658691e+00,3.015222167968750000e+01
-1.914255976676940918e+00,2.044989624023437500e+02
-1.914049983024597168e+00,1.249998855590820312e+01
-1.912029981613159180e+00,1.045000839233398438e+01
-1.911747932434082031e+00,5.197657775878906250e+01
-1.911689996719360352e+00,1.467605972290039062e+01
-1.909842014312744141e+00,6.128153228759765625e+01
-1.908856034278869629e+00,2.069869041442871094e+01
-1.908720016479492188e+00,1.805825042724609375e+01
-1.907637953758239746e+00,6.802695312500000000e+02
-1.907333970069885254e+00,2.210694885253906250e+01
-1.905807971954345703e+00,4.984235382080078125e+01
-1.905699968338012695e+00,2.449485168457031250e+02
-1.904268026351928711e+00,1.578656005859375000e+01
-1.903833985328674316e+00,3.554320144653320312e+01
-1.903465986251831055e+00,7.482537078857421875e+01
-1.902302026748657227e+00,1.931851577758789062e+01
-1.901999950408935547e+00,8.672600097656250000e+02
-1.901448011398315430e+00,1.467605972290039062e+01
-1.900507926940917969e+00,1.467605972290039062e+01
-1.899955987930297852e+00,1.691384696960449219e+01
-1.899573922157287598e+00,1.142793941497802734e+01
-1.899327993392944336e+00,2.656200408935546875e+01
-1.899276018142700195e+00,6.914735412597656250e+01
-1.897899985313415527e+00,4.746945800781250000e+02
-1.894081950187683105e+00,1.142793941497802734e+01
-1.892874002456665039e+00,6.914735412597656250e+01
-1.892156004905700684e+00,1.249998855590820312e+01
-1.890215992927551270e+00,7.778591156005859375e+01
-1.889233946800231934e+00,1.931851577758789062e+01
