times,energies
-1.999521970748901367e+00,1.882052612304687500e+01
-1.999143958091735840e+00,8.720616149902343750e+01
-1.997982025146484375e+00,3.987484741210937500e+01
-1.997802019119262695e+00,7.781103515625000000e+01
-1.997514009475708008e+00,1.002462196350097656e+01
-1.996953964233398438e+00,2.019761657714843750e+01
-1.996894001960754395e+00,2.440924072265625000e+01
-1.996850013732910156e+00,1.491115966796875000e+03
-1.996691942214965820e+00,1.002462196350097656e+01
-1.995069980621337891e+00,5.170913696289062500e+02
-1.992990016937255859e+00,1.754993438720703125e+01
-1.992964029312133789e+00,2.298035430908203125e+01
-1.992691993713378906e+00,1.006468353271484375e+02
-1.992015957832336426e+00,3.134978866577148438e+01
-1.990767955780029297e+00,1.006468353271484375e+02
-1.990443944931030273e+00,6.904431152343750000e+01
-1.988281965255737305e+00,3.134978866577148438e+01
-1.987501978874206543e+00,1.306831550598144531e+01
-1.987169981002807617e+00,1.002462196350097656e+01
-1.986613988876342773e+00,1.882052612304687500e+01
-1.986055970191955566e+00,2.588261413574218750e+01
-1.985216021537780762e+00,3.134978866577148438e+01
-1.984517931938171387e+00,8.401238250732421875e+01
-1.984511971473693848e+00,2.440924072265625000e+01
-1.984012007713317871e+00,1.002462196350097656e+01
-1.982667922973632812e+00,1.542275543212890625e+02
-1.982209920883178711e+00,1.006468353271484375e+02
-1.982203960418701172e+00,1.882052612304687500e+01
-1.981805920600891113e+00,2.019761657714843750e+01
-1.979838013648986816e+00,1.882052612304687500e+01
-1.979323983192443848e+00,4.240832519531250000e+02
-1.979165911674499512e+00,1.201227378845214844e+01
-1.978711962699890137e+00,9.049851226806640625e+01
-1.978052020072937012e+00,2.440924072265625000e+01
-1.978035926818847656e+00,2.750086059570312500e+02
-1.977715969085693359e+00,1.882052612304687500e+01
-1.977049946784973145e+00,2.753010559082031250e+01
-1.976679921150207520e+00,1.306831550598144531e+01
-1.976313948631286621e+00,2.298035430908203125e+01
-1.976047992706298828e+00,2.166204833984375000e+02
-1.975762009620666504e+00,4.537944793701171875e+01
-1.975529909133911133e+00,9.635113525390625000e+02
-1.974739909172058105e+00,3.504367065429687500e+01
-1.972533941268920898e+00,2.158130645751953125e+01
-1.971007943153381348e+00,1.491115966796875000e+03
-1.970752000808715820e+00,6.365244293212890625e+01
-1.970528006553649902e+00,1.491115966796875000e+03
-1.969373941421508789e+00,4.537944793701171875e+01
-1.968912005424499512e+00,1.525615692138671875e+01
-1.968709945678710938e+00,8.091673278808593750e+01
-1.968401908874511719e+00,1.491115966796875000e+03
-1.968377947807312012e+00,3.274242553710937500e+02
-1.966964006423950195e+00,1.860403747558593750e+02
-1.965734004974365234e+00,4.341403961181640625e+01
-1.965613961219787598e+00,3.987484741210937500e+01
-1.964846014976501465e+00,1.525615692138671875e+01
-1.963068008422851562e+00,8.720616149902343750e+01
-1.961653947830200195e+00,1.977698516845703125e+02
-1.961033940315246582e+00,3.134978866577148438e+01
-1.960160017013549805e+00,1.491115966796875000e+03
-1.959789991378784180e+00,9.716288757324218750e+01
-1.959565997123718262e+00,2.938014221191406250e+01
-1.959273934364318848e+00,6.538236141204833984e+00
-1.958967924118041992e+00,1.002462196350097656e+01
-1.958945989608764648e+00,1.494707641601562500e+02
-1.958213925361633301e+00,1.749341125488281250e+02
-1.958127975463867188e+00,1.097169399261474609e+01
-1.958029985427856445e+00,1.306831550598144531e+01
-1.957381963729858398e+00,2.232432861328125000e+02
-1.956683993339538574e+00,5.027919311523437500e+02
-1.956275939941406250e+00,1.414773941040039062e+01
-1.955731987953186035e+00,1.041250610351562500e+02
-1.955143928527832031e+00,6.103792953491210938e+01
-1.954659938812255859e+00,5.170913696289062500e+02
-1.953529953956604004e+00,1.414773941040039062e+01
-1.953009963035583496e+00,1.077081604003906250e+02
-1.952520012855529785e+00,3.820312881469726562e+01
-1.952031970024108887e+00,2.232432861328125000e+02
-1.951803922653198242e+00,5.318021850585937500e+02
-1.951113939285278320e+00,1.639233398437500000e+01
-1.949567914009094238e+00,1.754993438720703125e+01
-1.947798013687133789e+00,1.491115966796875000e+03
-1.947353959083557129e+00,6.904431152343750000e+01
-1.947245955467224121e+00,1.695704040527343750e+02
-1.946575999259948730e+00,2.938014221191406250e+01
-1.944949984550476074e+00,2.938014221191406250e+01
-1.944509983062744141e+00,2.019761657714843750e+01
-1.944333910942077637e+00,4.341403961181640625e+01
-1.943917989730834961e+00,1.491115966796875000e+03
-1.943787932395935059e+00,9.164251327514648438e+00
-1.942059993743896484e+00,2.938014221191406250e+01
-1.941185951232910156e+00,4.737886047363281250e+01
-1.941103935241699219e+00,1.525615692138671875e+01
-1.940675973892211914e+00,1.491115966796875000e+03
-1.939917922019958496e+00,1.882052612304687500e+01
-1.938743948936462402e+00,1.860403747558593750e+02
-1.936501979827880859e+00,1.201227378845214844e+01
-1.935508012771606445e+00,8.720616149902343750e+01
-1.935473918914794922e+00,2.440924072265625000e+01
-1.935310006141662598e+00,1.077081604003906250e+02
-1.933939933776855469e+00,2.158130645751953125e+01
-1.933611989021301270e+00,6.103792953491210938e+01
-1.933257937431335449e+00,4.619776306152343750e+02
-1.931911945343017578e+00,3.334889984130859375e+01
-1.931746006011962891e+00,5.620009613037109375e+01
-1.931681990623474121e+00,3.820312881469726562e+01
-1.931607961654663086e+00,2.753010559082031250e+01
-1.931342005729675293e+00,1.002462196350097656e+01
