times,energies
-1.999137520790100098e+00,4.864706420898437500e+01
-1.998445630073547363e+00,1.836235046386718750e+01
-1.998153567314147949e+00,2.867794799804687500e+01
-1.997969627380371094e+00,2.688771438598632812e+01
-1.997803568840026855e+00,9.579802246093750000e+02
-1.997731566429138184e+00,1.487970542907714844e+01
-1.997559547424316406e+00,1.171727943420410156e+01
-1.996895551681518555e+00,2.107699012756347656e+01
-1.996633529663085938e+00,2.528687667846679688e+01
-1.996363520622253418e+00,1.487970542907714844e+01
-1.995883584022521973e+00,1.488277587890625000e+03
-1.995285630226135254e+00,5.443855285644531250e+00
-1.994947552680969238e+00,2.245072937011718750e+01
-1.994853615760803223e+00,2.583248901367187500e+02
-1.993323564529418945e+00,2.507979888916015625e+02
-1.992515563964843750e+00,1.069853591918945312e+01
-1.992331624031066895e+00,1.171727943420410156e+01
-1.990901589393615723e+00,2.092542877197265625e+02
-1.989045619964599609e+00,1.836235046386718750e+01
-1.988569617271423340e+00,2.245072937011718750e+01
-1.988227605819702148e+00,1.836235046386718750e+01
-1.988139629364013672e+00,6.522111511230468750e+01
-1.988109588623046875e+00,1.968744812011718750e+02
-1.987969636917114258e+00,1.304253845214843750e+02
-1.987739562988281250e+00,3.259079742431640625e+01
-1.987553596496582031e+00,9.769564628601074219e+00
-1.987245559692382812e+00,4.274795532226562500e+01
-1.986995577812194824e+00,2.688771438598632812e+01
-1.986921548843383789e+00,2.384950256347656250e+01
-1.986465573310852051e+00,1.261395492553710938e+02
-1.986123561859130859e+00,1.274883842468261719e+01
-1.985217571258544922e+00,3.171015625000000000e+02
-1.985041618347167969e+00,1.171727943420410156e+01
-1.984985589981079102e+00,1.179223556518554688e+02
-1.984581589698791504e+00,9.248964691162109375e+01
-1.982707619667053223e+00,1.711761856079101562e+01
-1.982587575912475586e+00,1.274883842468261719e+01
-1.981955528259277344e+00,1.488277587890625000e+03
-1.981075525283813477e+00,3.259079742431640625e+01
-1.980745553970336914e+00,5.762459564208984375e+01
-1.980575561523437500e+00,1.171727943420410156e+01
-1.978483557701110840e+00,3.057554244995117188e+01
-1.974733591079711914e+00,5.762459564208984375e+01
-1.974559545516967773e+00,7.212508201599121094e+00
-1.974325537681579590e+00,3.597938919067382812e+01
-1.972849607467651367e+00,1.582175598144531250e+02
-1.971873521804809570e+00,1.171727943420410156e+01
-1.971843600273132324e+00,7.362303924560546875e+01
-1.971743583679199219e+00,9.769564628601074219e+00
