times,energies
-1.999357342720031738e+00,7.657753467559814453e+00
-1.997387409210205078e+00,1.845382080078125000e+02
-1.996755361557006836e+00,1.539400672912597656e+01
-1.993491411209106445e+00,1.772887039184570312e+01
-1.992797374725341797e+00,1.024215126037597656e+01
-1.992755413055419922e+00,1.539400672912597656e+01
-1.991031408309936523e+00,1.256618194580078125e+02
-1.990273356437683105e+00,9.330278396606445312e+00
-1.989159345626831055e+00,1.097372436523437500e+02
-1.988909363746643066e+00,2.324995040893554688e+01
-1.988597393035888672e+00,9.625089111328125000e+02
-1.987331390380859375e+00,2.324995040893554688e+01
-1.987247347831726074e+00,3.556683349609375000e+01
-1.986237406730651855e+00,1.539400672912597656e+01
-1.985467433929443359e+00,9.256494750976562500e+02
-1.985429406166076660e+00,1.432538757324218750e+02
-1.984373450279235840e+00,1.123916816711425781e+01
-1.983861446380615234e+00,4.397741317749023438e+01
-1.983819365501403809e+00,2.624357223510742188e+01
-1.983271360397338867e+00,8.875515747070312500e+01
-1.982485413551330566e+00,3.711849594116210938e+01
-1.980695366859436035e+00,1.680376892089843750e+02
-1.980627417564392090e+00,8.223858642578125000e+01
-1.980405449867248535e+00,1.326896476745605469e+01
-1.979963421821594238e+00,7.012135314941406250e+01
-1.979341387748718262e+00,2.218038635253906250e+02
-1.979329347610473633e+00,2.967573928833007812e+01
-1.978709340095520020e+00,9.625089111328125000e+02
-1.978473424911499023e+00,4.132495880126953125e+00
-1.977743387222290039e+00,4.999148941040039062e+01
-1.976347446441650391e+00,2.624357223510742188e+01
-1.974887371063232422e+00,1.490618652343750000e+03
-1.973721385002136230e+00,1.431670379638671875e+01
-1.973545432090759277e+00,6.450071716308593750e+01
-1.973089456558227539e+00,9.625089111328125000e+02
-1.971765518188476562e+00,5.929572677612304688e+01
-1.971525549888610840e+00,2.794122505187988281e+01
-1.970691442489624023e+00,2.794122505187988281e+01
-1.969675540924072266e+00,5.047188282012939453e+00
-1.965897440910339355e+00,7.912902069091796875e+01
-1.963797450065612793e+00,3.357260513305664062e+01
-1.963405489921569824e+00,3.145012092590332031e+01
-1.961655497550964355e+00,1.224560546875000000e+01
-1.960205435752868652e+00,5.936735153198242188e+00
-1.959739446640014648e+00,2.024136505126953125e+02
-1.959573507308959961e+00,2.183972549438476562e+01
-1.958421468734741211e+00,7.601277160644531250e+01
-1.957827448844909668e+00,8.497907638549804688e+00
-1.956859469413757324e+00,9.625089111328125000e+02
-1.956495523452758789e+00,2.577968444824218750e+02
-1.955725550651550293e+00,1.490618652343750000e+03
-1.955529451370239258e+00,8.223858642578125000e+01
-1.954997539520263672e+00,6.450071716308593750e+01
-1.954297542572021484e+00,1.123916816711425781e+01
-1.954053521156311035e+00,4.397741317749023438e+01
-1.954033493995666504e+00,1.650056838989257812e+01
-1.951371550559997559e+00,1.907785034179687500e+01
-1.951063513755798340e+00,1.490618652343750000e+03
-1.949969530105590820e+00,4.208588027954101562e+01
-1.949821472167968750e+00,3.870365905761718750e+01
-1.947963476181030273e+00,1.539400672912597656e+01
-1.947489500045776367e+00,4.397741317749023438e+01
-1.946945548057556152e+00,1.224560546875000000e+01
-1.946065545082092285e+00,1.539400672912597656e+01
-1.944511532783508301e+00,9.625089111328125000e+02
-1.944457530975341797e+00,1.326896476745605469e+01
-1.944411516189575195e+00,1.431670379638671875e+01
-1.943403482437133789e+00,9.205189514160156250e+01
-1.942621469497680664e+00,1.326896476745605469e+01
-1.942041516304016113e+00,2.624357223510742188e+01
-1.942005515098571777e+00,1.490618652343750000e+03
-1.941953539848327637e+00,2.967573928833007812e+01
-1.941139459609985352e+00,4.788187408447265625e+01
-1.939555525779724121e+00,1.326896476745605469e+01
-1.938049435615539551e+00,1.907785034179687500e+01
-1.937669515609741211e+00,3.145012092590332031e+01
-1.937267541885375977e+00,4.591031646728515625e+01
-1.937007546424865723e+00,4.032861709594726562e+01
-1.936029434204101562e+00,2.324995040893554688e+01
-1.935163497924804688e+00,2.183972549438476562e+01
-1.934651494026184082e+00,8.497907638549804688e+00
-1.934173464775085449e+00,2.967573928833007812e+01
-1.933679461479187012e+00,2.468191528320312500e+01
-1.931577444076538086e+00,5.936735153198242188e+00
-1.931417465209960938e+00,2.967573928833007812e+01
-1.931377530097961426e+00,1.024215126037597656e+01
-1.929445505142211914e+00,1.789115447998046875e+02
-1.928331494331359863e+00,5.936735153198242188e+00
-1.927861452102661133e+00,4.032861709594726562e+01
-1.927391529083251953e+00,1.907785034179687500e+01
-1.925429463386535645e+00,1.123916816711425781e+01
-1.925067543983459473e+00,4.397741317749023438e+01
-1.924809455871582031e+00,2.183972549438476562e+01
-1.923761487007141113e+00,2.044923782348632812e+01
-1.922755479812622070e+00,9.330278396606445312e+00
-1.919355511665344238e+00,3.357260513305664062e+01
-1.919149518013000488e+00,2.794122505187988281e+01
-1.917935490608215332e+00,1.650056838989257812e+01
-1.916543483734130859e+00,3.357260513305664062e+01
-1.914669513702392578e+00,4.208588027954101562e+01
-1.914079546928405762e+00,2.324995040893554688e+01
-1.913423538208007812e+00,9.330278396606445312e+00
-1.912817478179931641e+00,7.208162841796875000e+02
-1.911153435707092285e+00,6.805476188659667969e+00
-1.910671472549438477e+00,1.789115447998046875e+02
-1.910293459892272949e+00,1.097372436523437500e+02
-1.910173535346984863e+00,3.993543701171875000e+02
-1.908749461174011230e+00,1.299350128173828125e+02
-1.908687472343444824e+00,1.224560546875000000e+01
-1.905955553054809570e+00,1.123916816711425781e+01
-1.905877470970153809e+00,2.624357223510742188e+01
-1.905749440193176270e+00,1.907785034179687500e+01
-1.905573487281799316e+00,1.326896476745605469e+01
-1.903637528419494629e+00,7.657753467559814453e+00
-1.902277469635009766e+00,1.299350128173828125e+02
-1.901103496551513672e+00,5.452413940429687500e+01
-1.900695443153381348e+00,3.556683349609375000e+01
-1.900241494178771973e+00,3.145012092590332031e+01
-1.900211453437805176e+00,3.993543701171875000e+02
-1.899661540985107422e+00,7.912902069091796875e+01
-1.899543523788452148e+00,2.183972549438476562e+01
-1.899461507797241211e+00,7.300807189941406250e+01
-1.898839473724365234e+00,7.409838867187500000e+02
-1.898531436920166016e+00,1.907785034179687500e+01
-1.898499488830566406e+00,1.224560546875000000e+01
-1.897693514823913574e+00,6.188549041748046875e+01
-1.896263480186462402e+00,6.450071716308593750e+01
-1.895473480224609375e+00,1.650056838989257812e+01
-1.895041465759277344e+00,4.208588027954101562e+01
-1.893401503562927246e+00,7.657753467559814453e+00
-1.893193483352661133e+00,2.324995040893554688e+01
-1.892185449600219727e+00,1.431670379638671875e+01
-1.890869498252868652e+00,1.907785034179687500e+01
-1.890801548957824707e+00,4.999148941040039062e+01
-1.890361547470092773e+00,5.457833251953125000e+02
-1.889789462089538574e+00,1.772887039184570312e+01
-1.889673471450805664e+00,1.680376892089843750e+02
-1.889421463012695312e+00,5.929572677612304688e+01
-1.888549447059631348e+00,1.907785034179687500e+01
